"id","session_id","category","category_tag","turn","role","text","handover","links","dead_links","timestamp","run_id","endpoint"
"1530","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","1","bot","<p>En fiberboks skal normalt skiftes, hvis den er blevet for gammel og ikke længere kan levere forbindelse, eller hvis den bruger en ældre fiberteknologi, som ikke længere understøttes. 🛠️</p><p>Hvis din fiberboks er af nyere dato og tidligere har fungeret fint, kan du sende os en mail med et billede af boksen, så vi kan hjælpe dig videre. Giv lyd hvis det stadig driller 🙌</p>","0","[]","[]","2026-02-27 17:09:52","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1529","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","1","user","Hvorfor skal fiberboksen skiftes","0","[]","[]","2026-02-27 17:09:52","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1544","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","2","bot","<p>Det afhænger af situationen, og jeg kan desværre ikke give et endeligt svar på, hvem der betaler for en ny fiberboks ved udskiftning. Der står ikke noget om det i vores hjælpeartikler. Hvis du vil være helt sikker, kan du se vores åbningstider og kontaktmuligheder på <a href=""https://www.hiper.dk/kontakt"">hiper.dk/kontakt</a>. 📝</p><p>Giv lyd hvis du har flere spørgsmål 👍</p>","0","[""https://www.hiper.dk/kontakt""]","[]","2026-02-27 17:10:05","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1543","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","2","user","Hvem betaler for det? Skal jeg selv betale for den nye fiberboks?","0","[]","[]","2026-02-27 17:10:05","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1560","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","3","bot","<p>Selve udskiftningen af fiberboksen tager som regel kun kort tid. Du vil opleve en periode uden internet, mens teknikeren skifter boksen og får forbindelsen op at køre igen. ⏱️</p><p>Giv lyd hvis du vil vide mere eller har andre spørgsmål 🙌</p>","0","[]","[]","2026-02-27 17:10:23","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1559","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","3","user","Hvor lang tid tager det at skifte fiberboksen, og mister jeg internet imens?","0","[]","[]","2026-02-27 17:10:23","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1574","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","4","bot","<p>Der er desværre ikke mulighed for at blive varslet på forhånd i forbindelse med udskiftning af fiberboks eller planlagte afbrydelser. Hvis du vil vide mere om processen, kan du finde åbningstider og kontaktmuligheder her: <a href=""https://www.hiper.dk/kontakt"">hiper.dk/kontakt</a>. 📝</p><p>Skriv endelig igen, hvis du har andre spørgsmål 🙌</p>","0","[""https://www.hiper.dk/kontakt""]","[]","2026-02-27 17:10:39","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1573","35af7d01-156b-4dfe-8825-e2435e4d09ae","Etablering","","4","user","Kan jeg blive varslet i forvejen, så jeg ikke sidder uden internet midt i arbejdstiden?","0","[]","[]","2026-02-27 17:10:39","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1540","4d459bd3-e62a-4296-a651-fbd6fe354e86","Etablering","","1","bot","<p>Det kommer an på, hvilken type internet du vælger. Hvis der ikke er stik til internet i huset, skal der normalt installeres ekstra udstyr først. For eksempel skal en entreprenør ved fiber føre fiberkablet ind til huset og sætte en udvendig fiberboks op. Derefter monterer en tekniker en indvendig fiberboks på væggen inde i huset. Når det er gjort, kan du tilslutte din router til den indvendige fiberboks og komme online 🎉</p><p>Processen kan variere alt efter, om du vælger fiber, kabel eller 5G. Skriv gerne, hvis du vil høre mere om en bestemt type forbindelse, så guider jeg dig videre.</p><p>Giv lyd hvis du har flere spørgsmål 🖖</p>","0","[]","[]","2026-02-27 17:10:03","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1539","4d459bd3-e62a-4296-a651-fbd6fe354e86","Etablering","","1","user","Hej. Hvordan fungerer det hvis man skal have jeres internet. Vi har ikke noget stik i huset? Hvordan tilslutter man routeren?","0","[]","[]","2026-02-27 17:10:03","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1548","4d459bd3-e62a-4296-a651-fbd6fe354e86","Etablering","","2","bot","Mine kollegaer er ikke online lige nu, da du har henvendt dig uden for åbningstiden. Se mere om vores åbningstider og kontaktmuligheder her: https://www.hiper.dk/kontakt","1","[""https://www.hiper.dk/kontakt""]","[]","2026-02-27 17:10:08","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
"1547","4d459bd3-e62a-4296-a651-fbd6fe354e86","Etablering","","2","user","Hvad koster det at få en tekniker ud og lave installationen?","0","[]","[]","2026-02-27 17:10:08","a75d831b-989c-41e2-ac84-db2ba429e188","gpt41"
